lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2021 - by Cláudio Vieira e Evandro Neto
trp_multiplayer_profile_troop_male|perfil multiplayer masculino
trp_multiplayer_profile_troop_male_pl|perfil multiplayer masculino
trp_multiplayer_profile_troop_female|perfil multiplayer feminino
trp_multiplayer_profile_troop_female_pl|perfil multiplayer feminino
trp_temp_troop|Tropa Temporária
trp_temp_troop_pl|Tropa Temporária
trp_find_item_cheat|Item fraudado encontrado
trp_find_item_cheat_pl|Item fraudado encontrado
trp_random_town_sequence|Sequência aleatória de cidades
trp_random_town_sequence_pl|Sequência aleatória de cidades
trp_tournament_participants|Participantes do Torneio
trp_tournament_participants_pl|Participantes do Torneio
trp_tutorial_maceman|Maceiro
trp_tutorial_maceman_pl|Maceiro
trp_tutorial_archer|Arqueiro
trp_tutorial_archer_pl|Arqueiro
trp_tutorial_swordsman|Espadachim
trp_tutorial_swordsman_pl|Espadachim
trp_novice_fighter|Lutador Novato
trp_novice_fighter_pl|Lutadores Novatos
trp_regular_fighter|Lutador Regular
trp_regular_fighter_pl|Lutadores Regulares
trp_veteran_fighter|Lutador Veterano
trp_veteran_fighter_pl|Lutadores Veteranos
trp_champion_fighter|Lutador Campeão
trp_champion_fighter_pl|Lutadores Campeões
trp_arena_training_fighter_1|Lutador Novato
trp_arena_training_fighter_1_pl|Lutadores Novatos
trp_arena_training_fighter_2|Lutador Novato
trp_arena_training_fighter_2_pl|Lutadores Novatos
trp_arena_training_fighter_3|Lutador Regular
trp_arena_training_fighter_3_pl|Lutadores Regulares 
trp_arena_training_fighter_4|Lutador Regular
trp_arena_training_fighter_4_pl|Lutadores Regulares
trp_arena_training_fighter_5|Lutador Regular
trp_arena_training_fighter_5_pl|Lutadores Regulares 
trp_arena_training_fighter_6|Lutador Veterano
trp_arena_training_fighter_6_pl|Lutadores Veteranos
trp_arena_training_fighter_7|Lutador Veterano
trp_arena_training_fighter_7_pl|Lutadores Veteranos
trp_arena_training_fighter_8|Lutador Veterano
trp_arena_training_fighter_8_pl|Lutadores Veteranos
trp_arena_training_fighter_9|Lutador Campeão
trp_arena_training_fighter_9_pl|Lutadores Campeões
trp_arena_training_fighter_10|Lutador Campeão
trp_arena_training_fighter_10_pl|Lutadores Campeões
trp_cattle|Gado
trp_cattle_pl|Gado
trp_farmer|Agricultor
trp_farmer_pl|Agricultores
trp_unsullied|Imaculado
trp_unsullied_pl|Imaculados
trp_veteran_unsullied|Imaculado Veterano
trp_veteran_unsullied_pl|Imaculados Veteranos
trp_goldcloaks|Manto Dourado
trp_goldcloaks_pl|Mantos Dourados
trp_veteran_goldcloaks|Manto Dourado Veterano
trp_veteran_goldcloaks_pl|Mantos Dourados Veteranos
trp_obsidian_archer|Arqueiro
trp_obsidian_archer_pl|Arqueiros
trp_obsidian_infantry_axe|Machadeiro
trp_obsidian_infantry_axe_pl|Machadeiros
trp_obsidian_infantry_spear|Lanceiro
trp_obsidian_infantry_spear_pl|Lanceiros
trp_obsidian_cavalry_axe|Machadeiro Montado
trp_obsidian_cavalry_axe_pl|Machadeiros Montados
trp_obsidian_cavalry_spear|Lanceiro Montado
trp_obsidian_cavalry_spear_pl|Lanceiros Montados
trp_townsman|Plebeu
trp_townsman_pl|Plebeus
trp_watchman|Guarda
trp_watchman_pl|Guardas
trp_shepherd|Pastor
trp_shepherd_pl|Pastores
trp_caravan_guard|Escudeiro
trp_caravan_guard_pl|Escudeiros
trp_hired_blade|Cavaleiro Andante
trp_hired_blade_pl|Cavaleiros Andantes
trp_mercenary_swordsman|Espada Juramentada
trp_mercenary_swordsman_pl|Espadas Juramentadas
trp_frisian_warrior|Imortal de Mantarys
trp_frisian_warrior_pl|Imortais de Mantarys
trp_regular_sailors|Marinheiro
trp_regular_sailors_pl|Marinheiros
trp_sellsail|Marinheiro Mercenário
trp_sellsail_pl|Marinheiros Mercenários
trp_veteran_sellsail|Marinheiro Mercenário Veterano
